sku,category,units_sold,sales_total,total_value,value_pct,cum_value_pct,ABC_class,profit_sum,profit_pct,cum_profit_pct,ABC_profit
FUR-BO-10000112,Furniture,9,825.174,825.174,0.03592084672527232,87.46643136976712,B,-117.882,-0.04116034423133108,124.84529297044685,C
FUR-BO-10000330,Furniture,10,1064.624,1064.624,0.04634440193710214,84.58245475087676,B,24.196,0.008448411878160252,125.02159592115612,C
FUR-BO-10000362,Furniture,14,2154.348,2154.348,0.09378143797659277,70.61082653382633,B,311.1836,0.10865462152953664,95.14021482577441,C
FUR-BO-10000468,Furniture,21,723.842,723.842,0.03150973920084075,88.6059374901236,B,-133.1092,-0.04647715929791737,124.3597923211222,C
FUR-BO-10000711,Furniture,12,851.76,851.76,0.03707816824902136,87.10210665421278,B,229.9752,0.08029943839321704,101.53517305239478,C
FUR-BO-10000780,Furniture,22,2946.3668,2946.3668,0.12825899776196423,62.312083581279126,A,-767.7436,-0.26806968712272744,114.15772896635514,C
FUR-BO-10001337,Furniture,28,2970.059,2970.059,0.1292903485858929,61.92639598412043,A,-78.637,-0.027457338604020824,125.45803394435201,C
FUR-BO-10001519,Furniture,22,1119.195,1119.195,0.04871994518815565,83.29769922470368,B,147.0942,0.05136024080378905,108.59764513396117,C
FUR-BO-10001567,Furniture,3,90.882,90.882,0.003956206075429181,99.03709586818154,C,-190.8522,-0.06663903097425261,123.3119627095617,C
FUR-BO-10001601,Furniture,10,935.1972,935.1972,0.040710292955308626,86.05684420394255,B,-125.74080000000001,-0.04390436718008649,124.63153537046689,C
FUR-BO-10001608,Furniture,30,1570.0775999999998,1570.0775999999998,0.0683474234723627,77.51829223881819,B,-26.972399999999993,-0.009417835367105701,126.3812095710768,C
FUR-BO-10001619,Furniture,6,424.90000000000003,424.90000000000003,0.018496423510154476,93.59262599349807,C,27.193599999999996,0.009495070807155672,124.70681750808156,C
FUR-BO-10001798,Furniture,12,1263.9569999999999,1263.9569999999999,0.05502161442839331,81.63408871242967,B,-56.3214,-0.019665497799413737,125.92030502250131,C
FUR-BO-10001811,Furniture,26,5492.885,5492.885,0.23911209049794035,42.6021179607339,A,15.049,0.0052545937491500095,126.1035462786027,C
FUR-BO-10001918,Furniture,10,1014.174,1014.174,0.04414825092254037,85.16918233020736,B,-418.548,-0.1461425812026871,119.246134534785,C
FUR-BO-10001972,Furniture,37,2740.197,2740.197,0.11928417089492765,64.52985399397812,A,-975.0988,-0.34047099868985814,111.40097414637302,C
FUR-BO-10002202,Furniture,3,400.0268,400.0268,0.017413662292802688,93.91525223520306,C,-113.2606,-0.03954671013256559,125.00647935334281,C
FUR-BO-10002206,Furniture,1,119.833,119.833,0.005216478979741918,98.51865487306345,C,-12.6882,-0.004430283501094103,126.63767627441052,C
FUR-BO-10002213,Furniture,42,12921.643,12921.643,0.5624951315015838,17.56408001028294,A,19.68640000000002,0.006873814498190368,125.67143165930474,C
FUR-BO-10002268,Furniture,16,754.7336,754.7336,0.0328544888278266,88.25118667399619,B,-294.7672,-0.10292257868127123,121.26744211181138,C
FUR-BO-10002545,Furniture,35,7539.7122,7539.7122,0.32821301481731824,30.665960407484878,A,780.3302,0.2724644953945762,65.37213801619642,A
FUR-BO-10002598,Furniture,19,1320.228,1320.228,0.057471160785983105,80.7379773903526,B,362.70779999999996,0.12664510191028983,90.8224152807242,C
FUR-BO-10002613,Furniture,27,5184.081,5184.081,0.22566946972686544,44.676836494217994,A,-126.44099999999996,-0.04414885296274013,124.58738651750416,C
FUR-BO-10002824,Furniture,6,748.8608,748.8608,0.03259883856661118,88.3493204000869,B,24.156800000000004,0.008434724584986841,125.0300306457411,C
FUR-BO-10002853,Furniture,9,540.804,540.804,0.023541868251319324,91.31202084027004,C,-12.290999999999997,-0.00429159490802065,126.65079407842154,C
